food,era,pair,Protein,Total lipid (fat),"Fiber, total dietary","Iron, Fe","Zinc, Zn","Magnesium, Mg","Calcium, Ca","Potassium, K","Phosphorus, P","Vitamin C, total ascorbic acid","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Selenium, Se","Manganese, Mn","Copper, Cu","Fatty acids, total omega-3",Protein_pct_rda,Total lipid (fat)_pct_rda,"Fiber, total dietary_pct_rda","Iron, Fe_pct_rda","Zinc, Zn_pct_rda","Magnesium, Mg_pct_rda","Calcium, Ca_pct_rda","Potassium, K_pct_rda","Phosphorus, P_pct_rda","Vitamin C, total ascorbic acid_pct_rda","Vitamin A, RAE_pct_rda",Vitamin E (alpha-tocopherol)_pct_rda,Vitamin K (phylloquinone)_pct_rda,Thiamin_pct_rda,Riboflavin_pct_rda,Niacin_pct_rda,Vitamin B-6_pct_rda,"Folate, total_pct_rda",Vitamin B-12_pct_rda,"Selenium, Se_pct_rda","Manganese, Mn_pct_rda","Copper, Cu_pct_rda","Fatty acids, total omega-3_pct_rda",micro_density_score,macro_density_score
"chicken, whole, raw",modern,quail,12.4,9.96,0.0,1.67,1.24,11.0,48.0,132.0,184.0,0.0,180.0,1.05,0.3,0.077,0.419,0.0,0.063,71.0,1.02,31.1,,0.0,,24.8,15.323076923076925,0.0,9.277777777777779,11.272727272727273,2.619047619047619,3.6923076923076925,2.8085106382978724,14.719999999999999,0.0,20.0,7.000000000000001,0.25,6.416666666666666,32.230769230769226,0.0,3.705882352941177,17.75,42.50000000000001,56.54545454545455,,0.0,,12.146797041894203,20.06153846153846
wild salmon,ancient,wild salmon,19.84,6.34,0.0,0.8,0.64,29.0,12.0,490.0,200.0,0.0,12.0,,,0.226,0.38,7.86,0.818,25.0,3.18,36.5,0.016,0.25,,39.68,9.753846153846153,0.0,4.444444444444445,5.818181818181818,6.904761904761905,0.9230769230769231,10.425531914893616,16.0,0.0,1.3333333333333335,,,18.833333333333336,29.230769230769234,49.125,48.11764705882353,6.25,100.0,66.36363636363637,0.6956521739130435,27.77777777777778,,21.791285904274744,24.716923076923077
"salmon, atlantic, farmed",modern,wild salmon,20.42,13.42,0.0,0.34,0.36,27.0,9.0,363.0,240.0,3.9,58.0,3.55,0.5,0.207,0.155,8.672,0.636,26.0,3.23,24.0,0.011,0.045,,40.84,20.646153846153847,0.0,1.8888888888888888,3.2727272727272725,6.428571428571428,0.6923076923076923,7.723404255319149,19.2,4.333333333333334,6.444444444444445,23.666666666666668,0.4166666666666667,17.25,11.923076923076922,54.2,37.411764705882355,6.5,100.0,43.63636363636363,0.47826086956521735,5.0,,17.52332383919068,30.743076923076927
"sardines, raw",ancient,"sardines, raw",17.9,7.96,1.0,3.12,1.12,34.0,306.0,273.0,322.0,0.0,18.0,1.23,1.5,0.27,0.233,5.03,0.134,55.0,4.97,39.6,,0.158,,35.8,12.246153846153845,3.571428571428571,17.333333333333336,10.181818181818182,8.095238095238095,23.53846153846154,5.808510638297872,25.759999999999998,0.0,2.0,8.200000000000001,1.25,22.500000000000004,17.923076923076923,31.4375,7.882352941176471,13.750000000000002,100.0,72.0,,17.555555555555554,,20.46248819886245,24.02307692307692
"tuna, canned in water",modern,"sardines, raw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mackerel, raw",ancient,"mackerel, raw",18.6,13.89,0.0,1.63,0.63,76.0,12.0,314.0,217.0,0.4,50.0,1.52,5.0,0.176,0.312,9.08,0.399,1.0,8.71,44.1,0.015,0.073,,37.2,21.36923076923077,0.0,9.055555555555555,5.7272727272727275,18.095238095238095,0.9230769230769231,6.680851063829787,17.36,0.4444444444444444,5.555555555555555,10.133333333333333,4.166666666666666,14.666666666666666,24.0,56.75,23.47058823529412,0.25,100.0,80.18181818181819,0.6521739130434783,8.11111111111111,,19.311217623645334,29.284615384615385
"cod, raw",modern,"mackerel, raw",17.81,0.67,0.0,0.38,0.45,32.0,16.0,413.0,203.0,1.0,12.0,0.64,0.1,0.076,0.065,2.063,0.245,7.0,0.91,33.1,0.015,0.028,,35.62,1.0307692307692307,0.0,2.111111111111111,4.090909090909091,7.6190476190476195,1.2307692307692308,8.787234042553191,16.24,1.1111111111111112,1.3333333333333335,4.266666666666667,0.08333333333333334,6.333333333333334,5.0,12.89375,14.411764705882351,1.7500000000000002,37.91666666666667,60.18181818181818,0.6521739130434783,3.111111111111111,,9.45620667253449,18.325384615384614
fish roe,ancient,fish roe,22.32,6.42,0.0,0.6,1.0,20.0,22.0,221.0,402.0,16.0,90.0,7.0,0.2,0.24,0.74,1.8,0.16,80.0,10.0,40.3,0.01,0.1,,44.64,9.876923076923076,0.0,3.3333333333333335,9.090909090909092,4.761904761904762,1.6923076923076923,4.702127659574469,32.16,17.77777777777778,10.0,46.666666666666664,0.16666666666666669,20.0,56.92307692307692,11.25,9.411764705882353,20.0,100.0,73.27272727272727,0.43478260869565216,11.111111111111112,,21.637757813531685,27.25846153846154
"shrimp, raw",modern,fish roe,20.1,0.51,,0.52,1.34,35.0,64.0,264.0,214.0,,,,,,,,,,,,0.033,0.391,,40.2,0.7846153846153846,,2.8888888888888893,12.181818181818183,8.333333333333332,4.923076923076923,5.617021276595745,17.119999999999997,,,,,,,,,,,,1.4347826086956523,43.44444444444445,,11.992920707106649,20.492307692307694
dandelion greens,ancient,dandelion greens,2.82,3.47,3.6,3.23,0.43,38.0,195.0,414.0,69.0,25.5,515.0,3.99,812.0,0.178,0.257,0.797,0.266,21.0,0.0,0.5,,0.178,,5.64,5.338461538461538,12.85714285714286,17.944444444444443,3.909090909090909,9.047619047619047,15.0,8.808510638297873,5.52,28.333333333333332,57.22222222222222,26.6,100.0,14.833333333333334,19.76923076923077,4.98125,15.647058823529413,5.25,0.0,0.9090909090909091,,19.77777777777778,,19.28474237184805,5.489230769230769
